module_id,origin,path,exists,has_build,main_files,test_files,has_coverage_gate,has_arch_tests,has_openapi,openapi_path,has_jenkins,has_gitlab,has_terraform,classification,score,risks
service:openfinance-atm-directory-service,standalone-service,services/openfinance-atm-directory-service,true,true,1,1,true,false,true,api/openapi/atm-directory-service.yaml,true,true,true,aligned,90,
service:openfinance-banking-metadata-service,standalone-service,services/openfinance-banking-metadata-service,true,true,63,34,true,false,true,api/openapi/banking-metadata-service.yaml,true,true,true,aligned,90,
service:openfinance-business-financial-data-service,standalone-service,services/openfinance-business-financial-data-service,true,true,56,33,true,false,true,api/openapi/business-financial-data-service.yaml,true,true,true,aligned,90,
service:openfinance-confirmation-of-payee-service,standalone-service,services/openfinance-confirmation-of-payee-service,true,true,1,1,true,false,true,api/openapi/confirmation-of-payee-service.yaml,true,true,true,aligned,90,
service:openfinance-consent-authorization-service,standalone-service,services/openfinance-consent-authorization-service,true,true,57,21,true,false,true,api/openapi/consent-authorization-service.yaml,true,true,true,aligned,90,
service:openfinance-open-products-service,standalone-service,services/openfinance-open-products-service,true,true,1,1,true,false,true,api/openapi/open-products-service.yaml,true,true,true,aligned,90,
service:openfinance-personal-financial-data-service,standalone-service,services/openfinance-personal-financial-data-service,true,true,55,32,true,false,true,api/openapi/personal-financial-data-service.yaml,true,true,true,aligned,90,
open-finance-context:open-finance-application,root-settings,open-finance-context/open-finance-application,true,true,26,15,true,true,true,api/openapi/open-finance-context.yaml,false,false,false,aligned,80,no-service-ci
open-finance-context:open-finance-domain,root-settings,open-finance-context/open-finance-domain,true,true,273,169,true,true,true,api/openapi/open-finance-context.yaml,false,false,false,aligned,80,no-service-ci
open-finance-context:open-finance-infrastructure,root-settings,open-finance-context/open-finance-infrastructure,true,true,224,97,true,true,true,api/openapi/open-finance-context.yaml,false,false,false,aligned,80,no-service-ci
compliance-context:compliance-application,root-settings,compliance-context/compliance-application,true,true,3,3,true,false,true,api/openapi/compliance-context.yaml,false,false,false,aligned,70,no-service-ci
compliance-context:compliance-domain,root-settings,compliance-context/compliance-domain,true,true,7,4,true,false,true,api/openapi/compliance-context.yaml,false,false,false,aligned,70,no-service-ci
compliance-context:compliance-infrastructure,root-settings,compliance-context/compliance-infrastructure,true,true,3,4,true,false,true,api/openapi/compliance-context.yaml,false,false,false,aligned,70,no-service-ci
customer-context:customer-application,root-settings,customer-context/customer-application,true,true,6,7,true,false,true,api/openapi/customer-context.yaml,false,false,false,aligned,70,no-service-ci
customer-context:customer-domain,root-settings,customer-context/customer-domain,true,true,10,5,true,false,true,api/openapi/customer-context.yaml,false,false,false,aligned,70,no-service-ci
customer-context:customer-infrastructure,root-settings,customer-context/customer-infrastructure,true,true,4,5,true,false,true,api/openapi/customer-context.yaml,false,false,false,aligned,70,no-service-ci
loan-context:loan-application,root-settings,loan-context/loan-application,true,true,7,7,true,false,true,api/openapi/loan-context.yaml,false,false,false,aligned,70,no-service-ci
loan-context:loan-domain,root-settings,loan-context/loan-domain,true,true,22,9,true,false,true,api/openapi/loan-context.yaml,false,false,false,aligned,70,no-service-ci
loan-context:loan-infrastructure,root-settings,loan-context/loan-infrastructure,true,true,4,3,true,false,true,api/openapi/loan-context.yaml,false,false,false,aligned,70,no-service-ci
payment-context:payment-application,root-settings,payment-context/payment-application,true,true,11,5,true,false,true,api/openapi/payment-context.yaml,false,false,false,aligned,70,no-service-ci
payment-context:payment-domain,root-settings,payment-context/payment-domain,true,true,16,4,true,false,true,api/openapi/payment-context.yaml,false,false,false,aligned,70,no-service-ci
